strain	date	accession	country	region
A/swine/Minnesota/A01678595/2018	2018-10-31	MK181522	USA	N
A/swine/Minnesota/A01785415/2018	2018-01-09	MG930942	USA	N
A/swine/Minnesota/A01785416/2018	2018-01-10	MG954318	USA	N
A/swine/Minnesota/A01785422/2018	2018-01-18	MG930940	USA	N
A/swine/Minnesota/A01785461/2018	2018-03-02	MH157017	USA	N
A/swine/Minnesota/A01785463/2018	2018-03-09	MH157021	USA	N
A/swine/Minnesota/A01785476/2018	2018-03-20	MH223578	USA	N
A/swine/Minnesota/A01785488/2018	2018-03-27	MH376898	USA	N
A/swine/Minnesota/A01785489/2018	2018-03-29	MH252085	USA	N
A/swine/Minnesota/A01785491/2018	2018-03-30	MH223586	USA	N
A/swine/Minnesota/A01785496/2018	2018-04-05	MH279975	USA	N
A/swine/Minnesota/A01785497/2018	2018-04-05	MH341205	USA	N
A/swine/Minnesota/A01785531/2018	2018-05-01	MH412697	USA	N
A/swine/Minnesota/A01785562/2018	2018-06-05	MH546131	USA	N
A/swine/Minnesota/A01785563/2018	2018-06-05	MH561755	USA	N
A/swine/Minnesota/A01785566/2018	2018-06-06	MH546133	USA	N
A/swine/Minnesota/A01785567/2018	2018-06-06	MH561743	USA	N
A/swine/Minnesota/A01785568/2018	2018-06-08	MH561745	USA	N
A/swine/Minnesota/A01785592/2018	2018-08-07	MH814933	USA	N
A/swine/Minnesota/A01785595/2018	2018-08-07	MH814939	USA	N
A/swine/Minnesota/A01785596/2018	2018-08-07	MH802617	USA	N
A/swine/Minnesota/A01785619/2018	2018-09-10	MK024155	USA	N
A/swine/Minnesota/A01785621/2018	2018-09-12	MK024149	USA	N
A/swine/Minnesota/A01785628/2018	2018-09-26	MK071668	USA	N
A/swine/Minnesota/A01785718/2018	2018-10-24	MK176494	USA	N
A/swine/Minnesota/A01785723/2018	2018-10-28	MK176492	USA	N
A/swine/Minnesota/A01785743/2018	2018-11-08	MK267241	USA	N
A/swine/Minnesota/A01785759/2018	2018-11-16	MK297706	USA	N
A/swine/Minnesota/A01785768/2018	2018-11-26	MK317981	USA	N
A/swine/Minnesota/A01785779/2018	2018-12-05	MK388512	USA	N
A/swine/Minnesota/A01785782/2018	2018-12-07	MK388532	USA	N
A/swine/Minnesota/A01785788/2018	2018-12-12	MK405269	USA	N
A/swine/Minnesota/A01785812/2018	2018-12-31	MK405275	USA	N
A/swine/Minnesota/A01785814/2019	2019-01-04	MK445327	USA	N
A/swine/Minnesota/A01785845/2019	2019-01-09	MK506991	USA	N
A/swine/Minnesota/A01785848/2019	2019-01-11	MK506987	USA	N
A/swine/Minnesota/A01785859/2019	2019-01-21	MK512727	USA	N
A/swine/Minnesota/A01785862/2019	2019-01-22	MK512725	USA	N
A/swine/Minnesota/A01785909/2019	2019-01-24	MK551227	USA	N
A/swine/Minnesota/A01785920/2019	2019-01-31	MK551237	USA	N
A/swine/Minnesota/A01785953/2019	2019-02-13	MK577679	USA	N
A/swine/Minnesota/A01785989/2019	2019-02-22	MK785426	USA	N
A/swine/Minnesota/A02157976/2018	2018-04-18	MH350908	USA	N
A/swine/Minnesota/A02158518/2018	2018-05-10	MH444847	USA	N
A/swine/Minnesota/A02158927/2018	2018-05-17	MH540389	USA	N
A/swine/Minnesota/A02171021/2018	2018-07-02	MH684915	USA	N
A/swine/Minnesota/A02245014/2019	2019-03-18	MK785440	USA	N
A/swine/Minnesota/A02245092/2019	2019-03-27	MK859917	USA	N
A/swine/Minnesota/A02245096/2019	2019-03-28	MK821309	USA	N
A/swine/Minnesota/A02245106/2019	2019-04-16	MK871747	USA	N
A/swine/Minnesota/A02245133/2019	2019-05-15	MN044097	USA	N
A/swine/Minnesota/A02245139/2019	2019-05-22	MN044091	USA	N
A/swine/Minnesota/A02245180/2019	2019-06-19	MN168282	USA	N
A/swine/Minnesota/A02245182/2019	2019-06-25	MN183789	USA	N
A/swine/Minnesota/A02245188/2019	2019-06-28	MN183795	USA	N
A/swine/Minnesota/A02245197/2019	2019-07-10	MN241067	USA	N
A/swine/Minnesota/A02245201/2019	2019-07-19	MN307898	USA	N
A/swine/Minnesota/A02245205/2019	2019-07-26	MN447244	USA	N
A/swine/Minnesota/A02245235/2019	2019-09-06	MN543878	USA	N
A/swine/Minnesota/A02245255/2019	2019-09-24	MN575744	USA	N
A/swine/Minnesota/A02245278/2019	2019-10-09	MN630295	USA	N
A/swine/Minnesota/A02245296/2019	2019-10-23	MN688368	USA	N
A/swine/Minnesota/A02245303/2019	2019-10-24	MN688366	USA	N
A/swine/Minnesota/A02245304/2019	2019-10-24	MN688372	USA	N
A/swine/Minnesota/A02245306/2019	2019-10-28	MN688370	USA	N
A/swine/Minnesota/A02245307/2019	2019-10-28	MN688364	USA	N
A/swine/Minnesota/A02245312/2019	2019-10-31	MN848889	USA	N
A/swine/Minnesota/A02245351/2019	2019-12-02	MN932065	USA	N
A/swine/Minnesota/A02245357/2019	2019-12-12	MT020042	USA	N
A/swine/Minnesota/A02245369/2019	2019-12-20	MN963937	USA	N
A/swine/Minnesota/A02245380/2020	2020-01-08	MT052144	USA	N
A/swine/Minnesota/A02245410/2020	2020-02-03	MT154187	USA	N
A/swine/Minnesota/A02245422/2020	2020-02-24	MT232801	USA	N
A/swine/Minnesota/A02245533/2020	2020-03-18	MT318333	USA	N
A/swine/Minnesota/A02245563/2020	2020-03-26	MT372512	USA	N
A/swine/Minnesota/A02245564/2020	2020-03-24	MT372520	USA	N
A/swine/Minnesota/A02245582/2020	2020-04-07	MT372548	USA	N
A/swine/Minnesota/A02245583/2020	2020-04-07	MT372542	USA	N
A/swine/Minnesota/A02245584/2020	2020-04-07	MT372518	USA	N
A/swine/Minnesota/A02257619/2018	2018-09-20	MK071692	USA	N
A/swine/Minnesota/A02257811/2018	2018-09-21	MK072836	USA	N
A/swine/Minnesota/A02266068/2018	2018-10-01	MK122759	USA	N
A/swine/Minnesota/A02432160/2019	2019-04-05	MK878733	USA	N
A/swine/Minnesota/A02478714/2019	2019-09-24	MN630817	USA	N
A/swine/Minnesota/A02478718/2019	2019-09-28	MN630795	USA	N
A/swine/Minnesota/A02478822/2019	2019-10-30	MT052130	USA	N
A/swine/Minnesota/A02478920/2019	2019-11-25	MN932025	USA	N
A/swine/Missouri/A01785484/2018	2018-03-26	MH223582	USA	N
A/swine/Missouri/A02142415/2018	2018-01-30	MG983496	USA	N
A/swine/Missouri/A02169142/2018	2018-05-18	MH540397	USA	N
A/swine/Missouri/A02170599/2018	2018-06-27	MH647806	USA	N
A/swine/Missouri/A02200041/2018	2018-01-25	MG983210	USA	N
A/swine/Missouri/A02256554/2018	2018-08-13	MH910347	USA	N
A/swine/Missouri/A02257032/2018	2018-08-30	MH938194	USA	N
A/swine/Missouri/A02257614/2018	2018-09-18	MK071676	USA	N
A/swine/Missouri/A02271170/2018	2018-12-03	MK371693	USA	N
A/swine/Missouri/A02428123/2018	2018-12-20	MK418476	USA	N
A/swine/Missouri/A02431992/2019	2019-04-02	MK844237	USA	N
A/swine/Missouri/A02432296/2019	2019-04-16	MK922305	USA	N
A/swine/Missouri/A02478497/2019	2019-05-16	MN066335	USA	N
A/swine/Missouri/A02478831/2019	2019-11-05	MT052112	USA	N
A/swine/Missouri/A02478935/2019	2019-12-03	MN931939	USA	N
A/swine/Missouri/A02479155/2020	2020-03-19	MT319779	USA	N
A/swine/Nebraska/A01678580/2018	2018-08-24	MH899098	USA	N
A/swine/Nebraska/A01785407/2018	2018-01-04	MG967547	USA	N
A/swine/Nebraska/A01785413/2018	2018-01-09	MG907117	USA	N
A/swine/Nebraska/A01785423/2018	2018-01-18	MG930938	USA	N
A/swine/Nebraska/A01785451/2018	2018-02-21	MH055380	USA	N
A/swine/Nebraska/A01785515/2018	2018-04-19	MH365335	USA	N
A/swine/Nebraska/A01785535/2018	2018-05-08	MH445470	USA	N
A/swine/Nebraska/A01785572/2018	2018-06-13	MH561747	USA	N
A/swine/Nebraska/A01785583/2018	2018-07-11	MH680941	USA	N
A/swine/Nebraska/A01785736/2018	2018-11-02	MK243690	USA	N
A/swine/Nebraska/A01785951/2019	2019-02-07	MK577681	USA	N
A/swine/Nebraska/A02140795/2018	2018-01-08	MG917048	USA	N
A/swine/Nebraska/A02140873/2018	2018-01-19	MG930912	USA	N
A/swine/Nebraska/A02142683/2018	2018-02-14	MH016398	USA	N
A/swine/Nebraska/A02155428/2018	2018-03-09	MH160344	USA	N
A/swine/Nebraska/A02157995/2018	2018-04-24	MH371214	USA	N
A/swine/Nebraska/A02158807/2018	2018-05-23	MH463582	USA	N
A/swine/Nebraska/A02169069/2018	2018-05-16	MH540403	USA	N
A/swine/Nebraska/A02171019/2018	2018-07-09	MH819326	USA	N
A/swine/Nebraska/A02171222/2018	2018-07-13	MH727190	USA	N
A/swine/Nebraska/A02245112/2019	2019-04-22	MK931425	USA	N
A/swine/Nebraska/A02245325/2019	2019-11-13	MN932087	USA	N
A/swine/Nebraska/A02245377/2020	2020-01-08	MT052166	USA	N
A/swine/Nebraska/A02245411/2020	2020-02-04	MT154197	USA	N
A/swine/Nebraska/A02245526/2020	2020-03-05	MT318325	USA	N
A/swine/Nebraska/A02245566/2020	2020-03-27	MT372522	USA	N
A/swine/Nebraska/A02254605/2018	2018-07-19	MH802650	USA	N
A/swine/Nebraska/A02254607/2018	2018-07-19	MH802638	USA	N
A/swine/Nebraska/A02254616/2018	2018-07-25	MH802644	USA	N
A/swine/Nebraska/A02254794/2018	2018-07-30	MH802664	USA	N
A/swine/Nebraska/A02254796/2018	2018-07-27	MH802624	USA	N
A/swine/Nebraska/A02256553/2018	2018-08-14	MH910357	USA	N
A/swine/Nebraska/A02257337/2018	2018-09-14	MK039823	USA	N
A/swine/Nebraska/A02266075/2018	2018-10-02	MK122735	USA	N
A/swine/Nebraska/A02268693/2018	2018-11-02	MK249092	USA	N
A/swine/Nebraska/A02269997/2018	2018-11-13	MK358900	USA	N
A/swine/Nebraska/A02271062/2018	2018-11-30	MK371703	USA	N
A/swine/Nebraska/A02430270/2019	2019-02-06	MK587475	USA	N
A/swine/Nebraska/A02430692/2019	2019-02-19	MK640444	USA	N
A/swine/Nebraska/A02431880/2019	2019-03-26	MK844251	USA	N
A/swine/Nebraska/A02432059/2019	2019-04-09	MK844235	USA	N
A/swine/Nebraska/A02478470/2019	2019-05-09	MN022476	USA	N
A/swine/Nebraska/A02478852/2019	2019-11-06	MT052100	USA	N
A/swine/Nebraska/A02479150/2020	2020-03-19	MT319781	USA	N
A/swine/NorthCarolina/A01785410/2018	2018-01-05	MG907119	USA	N
A/swine/NorthCarolina/A01785419/2018	2018-01-16	MG954322	USA	N
A/swine/NorthCarolina/A01785421/2018	2018-01-18	MG954324	USA	N
A/swine/NorthCarolina/A01785450/2018	2018-02-15	MH157023	USA	N
A/swine/NorthCarolina/A01785522/2018	2018-04-17	MH412693	USA	N
A/swine/NorthCarolina/A01785534/2018	2018-05-08	MH477733	USA	N
A/swine/NorthCarolina/A01785537/2018	2018-05-09	MH412695	USA	N
A/swine/NorthCarolina/A01785538/2018	2018-05-10	MH477731	USA	N
A/swine/NorthCarolina/A01785542/2018	2018-05-21	MH496713	USA	N
A/swine/NorthCarolina/A01785551/2018	2018-05-22	MH477735	USA	N
A/swine/NorthCarolina/A01785552/2018	2018-05-18	MH561749	USA	N
A/swine/NorthCarolina/A01785561/2018	2018-06-04	MH546127	USA	N
A/swine/NorthCarolina/A01785564/2018	2018-06-06	MH546129	USA	N
A/swine/NorthCarolina/A01785579/2018	2018-06-21	MH680935	USA	N
A/swine/NorthCarolina/A01785581/2018	2018-07-05	MH714794	USA	N
A/swine/NorthCarolina/A01785582/2018	2018-07-05	MH680937	USA	N
A/swine/NorthCarolina/A01785585/2018	2018-07-23	MH752424	USA	N
A/swine/NorthCarolina/A01785631/2018	2018-10-01	MK072856	USA	N
A/swine/NorthCarolina/A01785721/2018	2018-10-24	MK176496	USA	N
A/swine/NorthCarolina/A01785744/2018	2018-11-07	MK267247	USA	N
A/swine/NorthCarolina/A01785846/2019	2019-01-10	MK506981	USA	N
A/swine/NorthCarolina/A01785849/2019	2019-01-11	MK512719	USA	N
A/swine/NorthCarolina/A01785857/2019	2019-01-18	MK551229	USA	N
A/swine/NorthCarolina/A02140660/2018	2018-01-11	MG917046	USA	N
A/swine/NorthCarolina/A02140665/2018	2018-01-11	MG917078	USA	N
A/swine/NorthCarolina/A02140803/2018	2018-01-10	MG917058	USA	N
A/swine/NorthCarolina/A02142700/2018	2018-02-13	MH016388	USA	N
A/swine/NorthCarolina/A02142722/2018	2018-02-14	MH094839	USA	N
A/swine/NorthCarolina/A02155541/2018	2018-03-12	MH160334	USA	N
A/swine/NorthCarolina/A02156991/2018	2018-03-22	MH201008	USA	N
A/swine/NorthCarolina/A02245129/2019	2019-05-12	MK992897	USA	N
A/swine/NorthCarolina/A02245170/2019	2019-06-12	MN168278	USA	N
A/swine/NorthCarolina/A02245215/2019	2019-08-15	MN447212	USA	N
A/swine/NorthCarolina/A02245239/2019	2019-09-10	MN575746	USA	N
A/swine/NorthCarolina/A02245252/2019	2019-09-19	MN575742	USA	N
A/swine/NorthCarolina/A02245253/2019	2019-09-19	MN575740	USA	N
A/swine/NorthCarolina/A02245294/2019	2019-10-15	MN646208	USA	N
A/swine/NorthCarolina/A02245385/2020	2020-01-10	MT081583	USA	N
A/swine/NorthCarolina/A02245396/2020	2020-01-21	MT052154	USA	N
A/swine/NorthCarolina/A02245398/2020	2020-01-09	MT081599	USA	N
A/swine/NorthCarolina/A02245413/2020	2020-02-06	MT154185	USA	N
A/swine/NorthCarolina/A02245530/2020	2020-03-11	MT318321	USA	N
A/swine/NorthCarolina/A02245567/2020	2020-03-27	MT372538	USA	N
A/swine/NorthCarolina/A02254950/2018	2018-08-09	MH819318	USA	N
A/swine/NorthCarolina/A02256427/2018	2018-08-13	MH819314	USA	N
A/swine/NorthCarolina/A02269776/2018	2018-11-13	MK266780	USA	N
A/swine/NorthCarolina/A02427880/2018	2018-12-20	MK405243	USA	N
A/swine/NorthCarolina/A02429717/2019	2019-01-18	MK503410	USA	N
A/swine/NorthCarolina/A02429804/2019	2019-01-15	MK503408	USA	N
A/swine/NorthCarolina/A02431888/2019	2019-03-25	MK828105	USA	N
A/swine/NorthCarolina/A02478551/2019	2019-06-24	MN184577	USA	N
A/swine/NorthCarolina/A02478552/2019	2019-06-06	MN184571	USA	N
A/swine/NorthCarolina/A02478615/2019	2019-08-13	MN436832	USA	N
A/swine/NorthCarolina/A02478628/2019	2019-08-28	MN450675	USA	N
A/swine/NorthCarolina/A02478653/2019	2019-09-09	MN517806	USA	N
A/swine/NorthCarolina/A02478666/2019	2019-09-12	MN544238	USA	N
A/swine/NorthCarolina/A02478687/2019	2019-09-19	MN575720	USA	N
A/swine/NorthCarolina/A02478707/2019	2019-10-01	MN630815	USA	N
A/swine/NorthCarolina/A02478711/2019	2019-10-02	MN630827	USA	N
A/swine/NorthCarolina/A02478740/2019	2019-10-11	MN655813	USA	N
A/swine/NorthCarolina/A02478832/2019	2019-11-06	MT052084	USA	N
A/swine/NorthCarolina/A02478858/2019	2019-11-11	MN848867	USA	N
A/swine/NorthCarolina/A02478865/2019	2019-11-13	MN932001	USA	N
A/swine/NorthCarolina/A02478880/2019	2019-11-14	MT052092	USA	N
A/swine/NorthCarolina/A02478894/2019	2019-11-18	MN932059	USA	N
A/swine/NorthCarolina/A02478964/2019	2019-12-19	MN931870	USA	N
A/swine/NorthCarolina/A02479010/2020	2020-01-22	MT077019	USA	N
A/swine/NorthCarolina/A02479041/2020	2020-02-06	MT121015	USA	N
A/swine/NorthCarolina/A02479052/2020	2020-02-06	MT121023	USA	N
A/swine/NorthCarolina/A02479083/2020	2020-02-20	MT233095	USA	N
A/swine/Ohio/A01797995/2019	2019-04-23	MK967635	USA	N
A/swine/Ohio/A02245339/2019	2019-11-19	MN857562	USA	N
A/swine/Ohio/A02430905/2019	2019-02-21	MK677412	USA	N
A/swine/Ohio/A02478686/2019	2019-09-17	MN575714	USA	N
A/swine/Ohio/A02478879/2019	2019-11-14	MN857576	USA	N
A/swine/Ohio/A02478957/2019	2019-12-05	MN931961	USA	N
A/swine/Ohio/A02479175/2020	2020-03-24	MT367675	USA	N
A/swine/Ohio/OH-18-5253/2018	2018-03-09	MH234399	USA	N
A/swine/Ohio/OH-18-6906/2018	2018-03-25	MH234407	USA	N
A/swine/Ohio/OH-18-6910/2018	2018-03-26	MH234415	USA	N
A/swine/Ohio/OH-18-7450/2018	2018-04-02	MH234423	USA	N
A/swine/Ohio/OH-18-7969/2018	2018-04-06	MH234447	USA	N
A/swine/Ohio/OH18-08582.4/2018	2018-04-15	MK478509	USA	N
A/swine/Ohio/OH18-09970.4/2018	2018-04-29	MK478541	USA	N
A/swine/Ohio/OH18-09978.4/2018	2018-04-29	MK478549	USA	N
A/swine/Ohio/OH18-23554-1.4/2018	2018-10-19	MK478581	USA	N
A/swine/Ohio/OH18-25012.4/2018	2018-11-13	MK478605	USA	N
A/swine/Ohio/OH18-25268-5.4/2018	2018-11-14	MK478613	USA	N
A/swine/Ohio/OH18-26242-1.4/2018	2018-11-29	MK478629	USA	N
A/swine/Ohio/OH18-27220-4.4/2018	2018-12-13	MK478661	USA	N
A/swine/Oklahoma/A01678581/2018	2018-08-28	MH976801	USA	N
A/swine/Oklahoma/A01678605/2019	2019-07-12	MN413678	USA	N
A/swine/Oklahoma/A01785514/2018	2018-04-19	MH376900	USA	N
A/swine/Oklahoma/A01785611/2018	2018-09-04	MK024147	USA	N
A/swine/Oklahoma/A01785722/2018	2018-10-25	MK176506	USA	N
A/swine/Oklahoma/A01785776/2018	2018-12-03	MK317989	USA	N
A/swine/Oklahoma/A01785992/2019	2019-02-27	MK640474	USA	N
A/swine/Oklahoma/A02245308/2019	2019-10-28	MN688362	USA	N
A/swine/Oklahoma/A02431948/2019	2019-04-03	MK844267	USA	N
A/swine/Oklahoma/A02478518/2019	2019-05-16	MN086856	USA	N
A/swine/Oklahoma/A02478660/2019	2019-09-04	MN517808	USA	N
A/swine/Oklahoma/A02478845/2019	2019-10-31	MN857580	USA	N
A/swine/Oklahoma/A02479048/2020	2020-02-04	MT121035	USA	N
A/swine/Oklahoma/A02479098/2020	2020-02-04	MT233075	USA	N
A/swine/Oklahoma/A02479121/2020	2020-03-06	MT277370	USA	N
A/swine/Ontario/SD0298/2018	2018-05-01	MK462790	Canada	N
A/swine/Pennsylvania/A02257193/2018	2018-09-06	MH992684	USA	N
A/swine/Pennsylvania/A02257263/2018	2018-09-06	MH992674	USA	N
A/swine/Pennsylvania/A02479125/2020	2020-03-11	MT277380	USA	N
A/swine/Pennsylvania/A02479128/2020	2020-03-12	MT277368	USA	N
A/swine/Pennsylvania/A02479139/2020	2020-03-19	MT319773	USA	N
A/swine/Saskatchewan/SD0271/2018	2018-03-09	MK462563	Canada	N
A/swine/Saskatchewan/SD0300/2018	2018-05-08	MK462451	Canada	N
A/swine/SouthDakota/A01785408/2018	2018-01-08	MH014784	USA	N
A/swine/SouthDakota/A01785471/2018	2018-03-15	MH157019	USA	N
A/swine/SouthDakota/A01785987/2019	2019-02-21	MK640466	USA	N
A/swine/SouthDakota/A01785988/2019	2019-02-21	MK671352	USA	N
A/swine/SouthDakota/A02245350/2019	2019-12-02	MN932069	USA	N
A/swine/SouthDakota/A02430908/2019	2019-02-26	MK677404	USA	N
A/swine/SouthDakota/A02478607/2019	2019-07-31	MN389231	USA	N
A/swine/SouthDakota/A02478745/2019	2019-10-10	MN655797	USA	N
A/swine/SouthDakota/A01678549/2018	2018-03-19	MH179046	USA	N
A/swine/Tennessee/A02157798/2018	2018-04-12	MH345756	USA	N
A/swine/Tennessee/A02428125/2018	2018-12-20	MK418466	USA	N
A/swine/Texas/A01785420/2018	2018-01-17	MG954314	USA	N
A/swine/Texas/A01785529/2018	2018-04-30	MH445461	USA	N
A/swine/Texas/A01785616/2018	2018-09-11	MK024145	USA	N
A/swine/Texas/A01785724/2018	2018-10-29	MK176502	USA	N
A/swine/Texas/A01785741/2018	2018-11-07	MK267271	USA	N
A/swine/Texas/A01785780/2018	2018-12-05	MK388526	USA	N
A/swine/Texas/A01785781/2018	2018-12-05	MK388528	USA	N
A/swine/Texas/A01785793/2018	2018-12-19	MK388514	USA	N
A/swine/Texas/A02245008/2019	2019-03-11	MK705902	USA	N
A/swine/Texas/A02245368/2019	2019-12-19	MN963929	USA	N
A/swine/Texas/A02245516/2020	2020-02-27	MT318329	USA	N
A/swine/USA/19/2018	2018-03-23	MN931831	USA	N
A/swine/USA/20/2018	2018-04-16	MN931832	USA	N
A/swine/USA/23/2018	2018-10-09	MN931835	USA	N
A/swine/USA/24/2018	2018-10-11	MN931836	USA	N
A/swine/USA/27/2018	2018-11-06	MN931839	USA	N
A/swine/USA/29/2018	2018-12-20	MN931841	USA	N
A/swine/USA/31/2018	2018-12-27	MN931843	USA	N
A/swine/USA/36/2019	2019-02-20	MN931848	USA	N
A/swine/USA/38/2019	2019-05-16	MN931850	USA	N
A/swine/USA/41/2019	2019-06-21	MN931853	USA	N
A/swine/Utah/A02142228/2018	2018-01-29	MG977434	USA	N
A/swine/Utah/A02158322/2018	2018-05-02	MH396698	USA	N
A/swine/Utah/A02245102/2019	2019-04-11	MK881755	USA	N
A/swine/Utah/A02255014/2018	2018-08-09	MH819324	USA	N
A/swine/Utah/A02267294/2018	2018-10-10	MK129528	USA	N
A/swine/Utah/A02268698/2018	2018-11-02	MK249080	USA	N
A/swine/Utah/A02427845/2018	2018-12-20	MK405239	USA	N
A/swine/Utah/A02478569/2019	2019-06-25	MN193084	USA	N
A/swine/Utah/A02478591/2019	2019-07-12	MN307926	USA	N
A/swine/Utah/A02478641/2019	2019-09-03	MN517776	USA	N
A/swine/Utah/A02478810/2019	2019-10-25	MT052082	USA	N
A/swine/Utah/A02479127/2020	2020-03-06	MT277366	USA	N
A/swine/Utah/A02479180/2020	2020-03-26	MT367673	USA	N
A/swine/Virginia/A01104140/2019	2019-12-27	MT233941	USA	N
A/swine/Virginia/A01785950/2019	2019-02-06	MK577665	USA	N
A/swine/Virginia/A02478454/2019	2019-04-26	MK967619	USA	N
A/swine/Virginia/A02478581/2019	2019-04-22	MN436839	USA	N
A/swine/Virginia/A02478738/2019	2019-08-29	MN608561	USA	N
A/swine/Wisconsin/A02140875/2018	2018-01-19	MG977436	USA	N
A/swine/Wyoming/A02245222/2019	2019-08-23	MN543888	USA	N
