strain	t-sne_label_for_Nextclade_pango_collapsed	Nextclade_pango_collapsed
OX448570	-1	B.1.617.2
USA/UT-UPHL-210820649962/2021	2	AY.44
BRA/ILMD2101129/2021	27	AY.119
USA/CO-CDC-FG-030533/2021	2	AY.44
BRA/ILMD2200165/2021	1	AY.99.2
BRA/BA-NVBS11493GENOV045617240371/2021	1	AY.99.2
BEN/611975/2021	27	AY.122
USA/CA-CDC-FG-054168/2021	24	AY.103
BRA/SP-NXBS4934GENOV821442047961/2021	1	AY.99.2
BRA/RJ-NVBS3695GENOV807845536264/2021	1	AY.99.2
USA/CO-CDPHE-2101112583/2021	2	AY.44
OV385217	17	AY.126
MEX/CMX-4_1125/2021	27	AY.20
BHR/921385685_S196_L001/2021	27	B.1.617.2
England/PHEC-334941/2021	25	AY.120
USA/CA-CDC-FG-039128/2021	14	AY.122
UGA/MUWRP-KIR210128S/2021	27	AY.46
NZL/21CH0395/2021	8	AY.39.1.1
OY354551	27	AY.46
BRA/RJ-NVBS8904GENOV828243374159/2021	1	AY.99.2
KEN/SS7249/2021	27	AY.46
LAO/LOMWRU-1380/2021	3	AY.1
England/PLYM-17A52C1/2021	27	AY.4
USA/TX-DSHS-12334/2021	24	AY.103
OV104196	21	AY.43
OV103918	21	AY.43
IND/GBRC614b/2021	27	AY.122
SouthAfrica/NHLS-UCT-GP-M986/2021	20	AY.91
USA/CT-CDC-2-5380624/2021	24	AY.103
USA/TX-CDC-QDX31492332/2021	12	AY.100
BGD/Laila_77/2021	27	B.1.617.2
USA/CA-CDC-ASC210634990/2021	23	AY.25.1
OV113566	27	AY.122
OV104100	17	AY.126
USA/TX-CDC-FG-041191/2021	23	AY.25
IND/hospital_2_291/2021	27	B.1.617.2
IND/GBRC1263/2021	27	B.1.617.2
England/MILK-1B602FB/2021	25	AY.120
NGA/CV2809/2021	6	AY.36
NGA/CV3088/2021	6	AY.36
Japan/SZ-NIG-Y211943/2021	16	AY.29
MYS/M_C15537/2021	27	B.1.617.2
NZL/21MV2694/2021	8	AY.39.1.1
England/PHEC-31EDC9/2021	27	AY.4
England/PHEC-M30AM55F/2021	27	AY.4
England/PHEC-YYBYNZA1/2021	27	AY.4
England/PHEC-Y308Y041/2021	27	AY.4
USA/NC-CDC-LC0260468/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-GS-E175/2021	26	AY.45
OY324690	-1	AY.4.2
ZAF/NHLS-UCT-GS-C205/2021	4	AY.32
Denmark/DCGC-257785/2021	27	AY.122
NZL/21MV2275/2021	8	AY.39.1.1
NZL/21CH0801/2021	8	AY.39.1.1
USA/CO-CDPHE-2103164247/2022	12	AY.100
BRA/SP-NVBS11710GENOV828538410678/2021	11	AY.101
BRA/RJ-NVBS8695GENOV828222366724/2021	1	AY.99.2
BRA/SP-NVBS8046GENOV828209335293/2021	1	AY.99.2
USA/NE-TESTNE_A1KUW3K/2021	9	AY.39
NZL/21MV0485/2021	-1	AY.107
IND/544MN908947.3/2021	-1	B.1.617.2
BHR/21342703575/2021	7	AY.33
Switzerland/ZH-ETHZ-34696348/2021	17	AY.126
England/MILK-2BAF4CA/2021	21	AY.43
NZL/21MV0617/2021	27	AY.4
LAO/LOMWRU-1614/2021	3	AY.1
KEN/C101699/2021	27	AY.116
England/NEWC-1B36443/2021	27	AY.4
USA/MA-CDCBI-CRSP_YFUCKPY6HZQYXR7O/2021	18	AY.3
Japan/SZ-NIG-Y21733/2021	16	AY.29
OV110675	27	AY.4
THA/CONI-0909/2021	5	AY.85
Switzerland/BS-UHB-43238627/2021	-1	B.1.617.2
USA/WA-UW-21042294873/2021	27	AY.122
USA/WA-UW-21060924846/2021	27	AY.122
UGA/MUWRP-KIR210154S/2021	27	AY.46
VNM/OUCRU-NHTD352/2021	27	AY.6
England/NEWC-1DA1432/2021	27	AY.4
USA/MI-MDHHS-SC33350/2021	24	AY.103
SYC/SS3935/2021	19	AY.122
OY371882	27	AY.98
DJI/NAMRU3_A459/2021	15	AY.3
COL/SEC-1542H/2021	23	AY.25.1
Wales/PHWC-PYPETB/2021	27	AY.4
England/PHWC-PYSPKA/2021	27	AY.4
OV104478	21	AY.43
SouthAfrica/NHLS-UCT-GS-C732/2021	4	AY.32
SouthAfrica/NHLS-UCT-GS-AE80/2021	26	AY.45
IND/GBRC806a/2021	-1	B.1.617.2
BHR/21921957746_S13_L001/2021	-1	AY.4
England/MILK-29B1755/2021	27	AY.4
England/HSLL-15BA999/2021	27	AY.5
BGD/icddrb-CMOSH-CU-2552588/2021	27	B.1.617.2
BRA/SP-NVBS11685GENOV828516649984/2021	21	AY.43
USA/TX-CDC-ASC210235203/2021	12	AY.100
England/ALDP-1D32AE9/2020	27	AY.4
England/ALDP-1C7DA10/2021	27	AY.4
England/QEUH-1C2B8AE/2021	27	AY.5
NZL/21CH0256/2021	8	AY.39.1.1
BHR/342182425/2021	27	B.1.617.2
BRA/DF-NVBS9089GENOV070984991809/2021	1	AY.99.2
BRA/DF-NVBS6039GENOV828100253702/2021	1	AY.99.2
FRA/IHUCOVID-057745_Nova1/2022	27	AY.122
OV111674	21	AY.43
England/ALDP-194A3E7/2021	27	AY.4
NGA/CV2915/2021	6	AY.36
NGA/CV3042/2021	27	B.1.617.2
IND/NIB148287/2021	27	B.1.617.2
NZL/21CH0229/2021	8	AY.39.1.1
IND/GBRC780/2021	14	AY.122
BRA/21895821JCS/2021	1	AY.99.2
BRA/SP-NVBS7062GENOV701259967853/2021	10	AY.34.1
USA/UT-UPHL-210612896933/2021	2	AY.44
LAO/LOMWRU-1363/2021	3	AY.1
BTN/RCDC0019-SV210157/2021	27	B.1.617.2
USA/MN-MDH-20650/2022	24	AY.103
USA/CT-1154/2021	18	AY.3
NZL/21CV0788/2021	8	AY.39.1.1
USA/FL-CDC-2-5313842/2021	24	AY.103
KEN/SS4381/2021	27	AY.46
England/ALDP-30B86C0/2022	27	AY.4.2
England/PLYM-15B9262/2021	27	AY.4
IND/CWS_0056_55110146/2021	27	B.1.617.2
USA/VA-Noblis-S558B57/2021	27	B.1.617.2
OV331715	-1	AY.122
BRA/EPI_ISL_8890097/2021	1	AY.99.2
England/PHEC-30F51E/2021	27	AY.4
IND/NIB148355/2021	14	AY.122
BHR/21922020691_S46_L001/2021	27	B.1.617.2
OV104015	27	B.1.617.2
BRA/RJ-NVBS6514GENOV700939719454/2021	1	AY.99.2
BRA/RJ-NVBS3676GENOV827851781519/2021	1	AY.99.2
OV104436	-1	AY.122
CHL/AR-UFRO-0344/2021	21	AY.43
SouthAfrica/NHLS-UCT-GS-C018/2021	-1	AY.120
SouthAfrica/NHLS-UCT-GS-C505/2021	0	AY.99
IND/GBRC841/2021	27	B.1.617.2
USA/ALTCOV-QPWIDVZ43LCNIOQX/2021	22	AY.103
USA/JW1728/2021	9	AY.39
USA/MN-UMGC-4326/2021	18	AY.3
NZL/21MV0600/2021	-1	B.1.617.2
NZL/21MV1670/2021	9	AY.39.1.1
SYC/SS468/2021	27	AY.122
Switzerland/LU-ETHZ-671076/2021	27	B.1.617.2
England/NEWC-2720DBB/2021	27	AY.4
KEN/SS10882/2021	27	AY.46
USA/WA-UW-2021041224321/2021	27	B.1.617.2
NZL/21CH0056/2021	13	AY.23
England/ALDP-1EAEBB7/2021	27	AY.4
SouthAfrica/NHLS-UCT-GP-K533/2021	27	AY.6
USA/TX-CDC-QDX25930634/2021	23	AY.25
Denmark/DCGC-280363/2021	27	B.1.617.2
England/ALDP-28FD712/2021	27	AY.4
LC646473	27	B.1.617.2
CHL/AR-UFRO-0411/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-GS-E173/2021	4	AY.32
GAB/7283L_Gabon/2021	10	B.1.617.2
USA/OKPHLCOV0001609/2021	27	AY.122
MNG/10011935/2021	17	AY.126
BGD/Laila_131/2021	-1	B.1.617.2
SouthAfrica/NHLS-UCT-GP-N004/2021	26	AY.45
USA/AZ-CDC-STM-TEQZ6DHNZ/2021	12	AY.100
OV019324	21	AY.43
SouthAfrica/NHLS-UCT-GP-M995/2021	26	AY.45
IND/GBRC808b/2021	-1	AY.122
OV020066	27	AY.4
NZL/21CV0539/2021	9	AY.39.1.1
KEN/C98728/2021	27	AY.116
BHR/21922066020_S10_L001/2021	15	AY.3
OV104415	21	AY.43
IND/GBRC1267/2021	27	B.1.617.2
England/NORW-30A0375/2021	27	AY.4
USA/CT-1142/2021	-1	B.1.617.2
England/MILK-2975508/2021	21	AY.43
USA/GA-CDC-QDX25988512/2021	18	AY.3
OY641911	27	AY.122
THA/CONI-1404/2021	5	AY.85
NGA/CV3451/2021	6	AY.36
England/BRBR-1BD2388/2021	27	AY.4
Denmark/DCGC-139368/2021	-1	AY.98
USA/MN-UMGC-8982/2021	23	AY.25
BRA/SP-NVBS8184GENOV828254959468/2021	-1	AY.46
BRA/RJ-NVBS8941GENOV700949860559/2021	-1	B.1.617.2
BRA/PR-NVBS8492GENOV828245431614/2021	11	AY.101
NGA/CV2663/2021	27	B.1.617.2
OV020060	27	AY.4
NZL/21MV0591/2021	1	AY.99.2
NZL/21MV1458/2021	21	AY.43
KEN/C101335/2021	27	AY.116
England/NEWC-2729532/2021	-1	AY.98
BRA/SP-NVBS7637GENOV828215713863/2021	1	AY.99.2
OV103954	21	AY.43
USA/MA-CDCBI-CRSP_E5GTW3OQF36KD2BQ/2021	27	AY.20
England/NORW-309F9F0/2021	27	AY.4
OV104104	21	AY.43
SouthAfrica/NHLS-UCT-GS-AE96/2021	4	AY.32
USA/CA-LACPHL-AF09230/2022	24	AY.103
UZB/hCoV-19-Uzb-CGB-43/2021	27	AY.122
BRA/SP-NVBS10225GENOV828345031448/2021	1	AY.99.2
BHR/21024243002/2021	-1	AY.4
BGD/Laila_76/2021	27	AY.127
NZL/21CH0057/2021	13	AY.23
NZL/21MV0519/2021	27	B.1.617.2
Switzerland/SG-ETHZ-673703/2022	21	AY.43
BRA/RN-NVBS11454GENOV045952881277/2021	10	AY.34.1
BRA/RJ-NVBS5586GENOV700932232400/2021	1	AY.99.2
BRA/SP-NVBS3305GENOV827846888872/2021	11	AY.101
NZL/21MV0570/2021	27	AY.122
NZL/21MV0942/2021	9	AY.39.1.1
THA/AFRIMS-COV4251/2021	5	AY.85
NGA/CV2909/2021	6	AY.36
USA/DE-CDC-LC0195911/2021	22	AY.103
England/PLYM-30AD3D6/2022	27	AY.46
NZL/21MV0629/2021	-1	B.1.617.2
NZL/21CV0566/2021	9	AY.39.1.1
OY546743	27	AY.4
Scotland/QEUH-1A5F5CA/2021	27	AY.4
USA/TN-SPHL-0541/2021	18	AY.3
NZL/21CV0666/2021	8	AY.39.1.1
NZL/21CV2208/2021	8	AY.39.1.1
USA/IN-CDC-LC0427107/2021	24	AY.103
OY453713	-1	AY.4
BHR/21922070702_S15_L001/2021	27	B.1.617.2
SYC/SS4714/2021	19	AY.122
KEN/SS4311/2021	27	AY.116
England/MILK-2E4535D/2021	27	AY.122
England/ALDP-2FC27E2/2021	27	AY.4
BHR/21922010797/2021	15	AY.3
USA/VA-DCLS-11192/2021	12	AY.100
BTN/RCDC0029-SV210167/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-GS-C745/2021	4	AY.32
NZL/21MV3020/2021	8	AY.39.1.1
NZL/21MV2604/2021	8	AY.39.1.1
NZL/21CV0600/2021	9	AY.39.1.1
England/ALDP-152D797/2021	27	AY.4
England/ALDP-15345DF/2021	27	AY.4
England/ALDP-15EFA6B/2021	27	AY.4
USA/NY-CDCBI-CRSP_DIJLMNTYPK7Z3WRF/2021	-1	B.1.617.2
USA/MA-CDC-LC0466729/2022	18	AY.3
USA/MP-CDC-2-5374628/2021	23	AY.25
NGA/CV2654/2021	6	AY.36
Japan/SZ-NIG-Y211373/2021	10	AY.34.1
England/HSLL-17C246E/2021	27	B.1.617.2
BRA/SP-NVBS11847GENOV828505220644/2021	1	AY.99.2
BRA/PR-NVBS9998GENOV045388421528/2021	11	AY.101
USA/CA-CDPH-3000265759/2021	-1	AY.119
SouthAfrica/NHLS-UCT-GP-6638/2021	4	AY.32
SouthAfrica/NHLS-UCT-GP-6592/2021	27	AY.6
OY500306	27	AY.4.2
USA/NV-NSPHL-LV377290/2021	2	AY.44
IND/CWS_0020_47813148/2021	27	B.1.617.2
England/ALDP-18B1452/2021	27	AY.4
NGA/CV2598/2021	6	AY.36
KAZ/63_02/2021	27	AY.122
NZL/21CH0440/2021	-1	AY.39.1.1
FRA/IHUCOVID-056678_Nova2/2021	-1	AY.4.2
USA/MA-CDCBI-CRSP_NBBQDVTKS3PUAHYG/2021	18	AY.3
BHR/921092988/2021	27	B.1.617.2
England/ALDP-17CCA53/2021	27	AY.4
England/ALDP-15CC1BA/2021	27	AY.4
USA/CO-CDC-MMB09226346/2021	2	AY.44
USA/CO-CDC-MMB11463387/2021	24	AY.103
OV104408	-1	AY.4
OV240665	27	AY.122
NZL/21CV3009/2021	9	AY.39.1.1
IND/177961/2021	14	AY.122
OV103966	17	AY.126
VNM/OUCRU-NHTD231/2021	27	B.1.617.2
NZL/21MV2813/2021	8	AY.39.1.1
NZL/21MV0313/2021	27	B.1.617.2
USA/MN-CDC-IBX245583909121/2021	24	AY.103
England/ALDP-208E5C9/2021	27	AY.6
NZL/21MV1684/2021	9	AY.39.1.1
England/MILK-2D9E365/2021	27	AY.4.2
OV665686	21	AY.43
USA/MS-CDC-LC0082458/2021	18	AY.3
IND/GBRC809/2021	27	AY.122
BRA/RJ-NVBS8663GENOV700948755436/2021	0	AY.99
USA/MN-CDC-IBX411845989336/2021	18	AY.3
COM/SS3800/2021	27	B.1.617.2
USA/KY-GD_00290/2021	18	AY.3
OV017673	17	AY.126
England/NORT-1BF4BE2/2021	27	AY.4
England/ALDP-17CAB61/2021	25	AY.120
USA/NJ-PHEL-V21014787/2021	-1	AY.103
BHR/21922082495_S30_L001/2021	15	AY.3
England/ALDP-2AD8335/2021	27	AY.4
BHR/21921810873/2021	-1	B.1.617.2
SouthAfrica/NHLS-UCT-GP-6556/2021	4	AY.32
SouthAfrica/NHLS-UCT-GS-B912/2021	-1	AY.120
BGD/Laila_220/2021	14	AY.122
KEN/SS4145/2021	27	B.1.617.2
OV104094	21	AY.43
USA/CO-CDPHE-40849573/2021	2	AY.44
USA/NM-CDC-ASC210154710/2021	27	AY.46
USA/2006267/2021	24	AY.103
IND/hospital_2_304/2021	27	B.1.617.2
THA/MTM_01_005/2021	5	AY.85
England/ALDP-1DC0A4A/2021	27	AY.4
USA/FL-CDC-STM-000711604/2021	9	AY.39
USA/NJ-PHEL-V21029122/2021	23	AY.25
USA/PA-CDC-ASC210360725/2021	22	AY.103
BRA/PR-NVBS7590GENOV828218833315/2021	1	AY.99.2
BRA/RJ-NVBS9462GENOV828389971830/2021	1	AY.99.2
BRA/RJ-NVBS6531GENOV828113790881/2021	1	AY.99.2
BRA/RJ-NVBS10150GENOV701288802316/2021	10	AY.34.1
BGD/B_210627_203.fasta/2021	27	B.1.617.2
BRA/PR-NVBS5665GENOV045375179166/2021	11	AY.101
USA/NV-CDC-QDX25762876/2021	2	AY.44
USA/NV-CDC-LC0044049/2021	14	AY.122
IND/hospital_2_307/2021	27	B.1.617.2
USA/MI-CDC-ASC210480980/2021	24	AY.103
OV104553	-1	B.1.617.2
USA/WA-UW-21042185581/2021	27	B.1.617.2
LAO/LOMWRU-1493/2021	3	AY.1
USA/MD-CDC-ASC210032991/2021	27	B.1.617.2
HongKong/HKU-220213-201/2021	21	AY.43
USA/CA-CDPH-500024963/2021	24	AY.103
USA/FL-CDC-QDX32535094/2022	24	AY.103
England/NORT-YYS1XD/2020	27	AY.4
BRA/21893644FMN/2021	1	AY.99.2
NZL/21MV0618/2021	27	B.1.617.2
BHR/T095319700_S41_L001/2021	27	B.1.617.2
BRA/SP-NVBS6681GENOV828071538808/2021	1	AY.99.2
SouthAfrica/NHLS-UCT-GS-AC33/2021	4	AY.32
USA/FL-CDC-ASC210203833/2021	2	AY.44
OU857626	21	AY.43
Japan/SZ-NIG-Y211380/2021	16	AY.29
NZL/21MV0631/2021	23	AY.25.1
NZL/21MV0555/2021	27	B.1.617.2
NZL/21CV0312/2021	9	AY.39.1.1
KEN/C109666/2021	27	B.1.617.2
England/MILK-1FB3556/2021	27	AY.6
OY686619	27	AY.4.2
IND/GBRC787/2021	27	B.1.617.2
England/ALDP-16681A0/2021	27	AY.4
USA/AR-UNM-ACHV00314/2021	2	AY.44
USA/JW4103/2022	23	AY.25
MNG/202107040/2021	-1	AY.107
Wales/MILK-2CD7273/2021	10	AY.34.1
KEN/SS308/2021	27	B.1.617.2
BRA/DF-NVBS9927GENOV828344970946/2021	1	AY.99.2
Japan/SZ-NIG-3-C12683/2021	16	AY.29
USA/WV128607/2022	27	AY.46
BHR/21922081976_S31_L001/2021	15	AY.3
BGD/Laila_25/2021	27	B.1.617.2
BGD/Laila_7/2021	27	B.1.617.2
OV103988	27	AY.4
Japan/SZ-NIG-3-C12446/2021	16	AY.29
Japan/SZ-NIG-212700/2021	16	AY.29
England/ALDP-2D6FCAE/2021	27	AY.4.2
England/PHEC-30AEFA/2021	27	B.1.617.2
THA/MTM_01_002/2021	5	AY.85
IND/GBRC712b/2021	27	AY.122
England/NORW-13F67E4/2021	27	AY.4
FRA/IHUCOVID-057748_Nova1/2022	21	AY.43
SouthAfrica/NHLS-UCT-LA-Z736/2021	27	AY.122
SouthAfrica/NHLS-UCT-GS-D626/2021	26	AY.45
NGA/CV4725/2021	6	AY.36
KEN/C103163/2021	27	AY.116
USA/FL-CDC-ASC210117175/2021	2	AY.44
MNG/202107044/2021	-1	AY.107
BRA/SP-NVBS8090GENOV828254969603/2021	21	AY.43
BRA/PR-NVBS5864GENOV828111066735/2021	11	AY.101
USA/CA-MCPHL-MC02743/2021	18	AY.3
USA/WI-CDC-ASC210656631/2021	12	AY.100
SYC/SS3937/2021	19	AY.122
BHR/21400264073_S82_L001/2021	27	AY.4
BGD/Laila_295/2021	27	B.1.617.2
OY607800	27	AY.4
England/MILK-1CD5919/2021	27	AY.4
USA/CO-CDC-MMB09001774/2021	2	AY.44
NZL/21MV0560/2021	27	AY.4
NZL/21CV0573/2021	9	AY.39.1.1
NZL/21MV1286/2021	9	AY.39.1.1
BRA/BA-NVBS6227GENOV828102166994/2021	1	AY.99.2
BRA/SP-NVBS4788GENOV827960809135/2021	1	AY.99.2
KEN/SS4157/2021	-1	AY.46
USA/NJ-PHEL-V21035431/2021	24	AY.103
England/MILK-2C1F37C/2021	27	AY.4
KEN/SS4308/2021	27	AY.116
MNG/202107050/2021	27	AY.122
England/MILK-2D4C9BF/2021	-1	AY.4
SYC/SS3980/2021	19	AY.122
OV107470	-1	AY.4
USA/MD-CDC-ASC210237008/2021	27	AY.122
EGY/CCHE57357_W4_A035/2021	27	B.1.617.2
BRA/SP-NVBS11411GENOV828511457423/2021	1	AY.99.2
BRA/SP-NVBS10418GENOV828373800160/2021	1	AY.99.2
BRA/RJ-NVBS6402GENOV828065310106/2021	1	AY.99.2
BRA/RS-NVBS7215GENOV67970515101/2021	1	AY.99.2
SYC/SS3549/2021	19	AY.122
Wales/MILK-27FC40E/2021	-1	AY.4
THA/CONI-1153/2021	5	AY.85
THA/CONI-1071/2021	5	AY.85
OW046953	21	AY.43
NZL/21CH0291/2021	8	AY.39.1.1
USA/OH-CDC-LC0054844/2021	27	B.1.617.2
USA/NE-NCOV21-22900/2021	24	AY.103
England/PHEP-YYNWZJC/2021	27	AY.4
England/PHEC-U308U445/2021	27	B.1.617.2
USA/CA-CDPH-1002012115/2020	2	AY.44
USA/WI-CDC-ASC210067150/2021	23	AY.25
LAO/LOMWRU-1483/2021	5	AY.85
NZL/21CH0080/2021	27	AY.5
SYC/SS2504/2021	19	AY.122
LAO/LOMWRU-1692/2021	5	AY.85
Northern_Ireland/NIRE-00447e/2021	27	AY.4
USA/IL-CDC-LC0162545/2021	24	AY.103
KAZ/37_02/2021	27	AY.122
NGA/CV2543/2021	6	AY.36
KEN/SS4406/2021	27	AY.46
OY629193	27	AY.4
LAO/LOMWRU-0987/2021	3	AY.1
LAO/LOMWRU-1531/2021	5	AY.85
OV104441	21	AY.43
OV104417	-1	B.1.617.2
OV103623	27	B.1.617.2
BHR/21921891910/2021	-1	B.1.617.2
OV017671	17	AY.126
USA/CA-CDPH-3000112495/2021	24	AY.103
DJI/NAMRU3_E445/2021	-1	AY.127
IND/hospital_2_293/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-GS-C744/2021	20	AY.91
BHR/33_S33_L001/2021	7	AY.33
England/QEUH-2EB6D1D/2021	21	AY.43
KEN/SS4150/2021	27	AY.46
USA/MI-CDC-ASC210453221/2021	23	AY.25
OV103962	21	AY.43
USA/CO-CDC-FG-030342/2021	2	AY.44
BRA/PR-NVBS7542GENOV828232402245/2021	11	AY.101
NZL/21MV2687/2021	8	AY.39.1.1
USA/WI-CDC-IBX351320921173/2021	27	B.1.617.2
IND/RGCB-LMMD-5/2020	27	B.1.617.2
SouthAfrica/NHLS-UCT-GS-C464/2021	26	AY.45
USA/CA-CDC-FG-090772/2021	2	AY.44
KEN/SS941/2021	27	AY.116
USA/NY-CDC-FG-096646/2021	18	AY.3
Switzerland/TI-EOC-26098876/2021	27	B.1.617.2
Pakistan/UHS2-Pak-362/2021	27	B.1.617.2
USA/CO-CDC-MMB11411301/2021	-1	AY.103
IND/GBRC1211/2021	27	B.1.617.2
USA/MN-CDC-STM-000064330/2021	27	B.1.617.2
NZL/21MV2089/2021	9	AY.39.1.1
Scotland/QEUH-15CF339/2021	27	AY.4
BTN/RCDC0023-SV210161/2021	27	B.1.617.2
OY386082	27	B.1.617.2
FRA/IHUCOVID-043067_Nova1/2021	21	AY.43
IND/GBRC1219/2021	27	B.1.617.2
NGA/CV2507/2021	6	AY.36
BRA/RJ-NVBS8701GENOV828259155735/2021	1	AY.99.2
OY543624	27	AY.4
ZAF/NHLS-UCT-GP-N266/2021	20	AY.91
USA/2003356/2021	18	AY.3
USA/MN-CDC-IBX119954553086/2021	23	AY.25.1
BGD/Laila_694/2022	27	B.1.617.2
OV518446	21	AY.43
England/ALDP-279318A/2021	27	AY.4
USA/CO-CDPHE-40849550/2021	2	AY.44
OV653534	27	AY.4
FRA/IHUCOVID-054540-Nova1M/2021	27	B.1.617.2
USA/CA-CDPH-3000252964/2021	27	AY.20
BHR/21921779003_S16_L001/2021	27	AY.4
BRA/RJ-NVBS9708GENOV828356793922/2021	21	AY.43
NZL/21CH0455/2021	8	AY.39.1.1
NZL/21MV0607/2021	27	AY.46
NZL/21CH0069/2021	13	AY.23
KEN/SS2410/2021	-1	AY.46
England/ALDP-1553BD8/2021	27	AY.4
England/ALDP-15697CC/2021	14	AY.122
NZL/21MV2716/2021	9	AY.39.1.1
NZL/21KV0765/2021	8	AY.39.1.1
NZL/21CV3348/2021	9	AY.39.1.1
OX112123	-1	AY.122
IND/CWS_0015_49899483/2021	27	B.1.617.2
Scotland/QEUH-1793CF5/2021	27	AY.4
England/NEWC-1F0625D/2021	27	AY.4
BGD/Laila_36/2021	14	AY.122
OV242550	27	AY.46.6
BGD/Laila_102/2021	14	AY.122
OV103952	27	AY.4
OV239694	27	AY.122
OV302139	21	AY.43
England/ALDP-15C0848/2021	27	AY.4
NZL/21CV0221/2021	13	AY.23
NZL/21CV0254/2021	9	AY.39.1.1
USA/UT-UPHL-211016608777/2021	2	AY.44
NZL/21CH0063/2021	13	AY.23
NZL/21MV1391/2021	9	AY.39.1.1
USA/SEARCH-100752/2021	27	B.1.617.2
Japan/SZ-NIG-213462/2021	16	AY.29
England/MILK-1C447B1/2021	27	AY.4
USA/AR-UNM-UAMS112MD115/2021	2	AY.44
SouthAfrica/NHLS-UCT-AM-Z032/2021	4	AY.32
SouthAfrica/NHLS-UCT-LA-Z721/2021	27	AY.6
USA/SRL_331883056/2022	18	AY.3
England/ALDP-2AC4985/2021	27	AY.4
SouthAfrica/NHLS-UCT-GS-C782/2021	26	AY.45
SouthAfrica/NHLS-UCT-GS-C775/2021	26	AY.45
USA/MO-CDC-QDX25806316/2021	18	AY.3
USA/NJ-CDC-LC0206567/2021	24	AY.103
USA/UT-CDC-QDX26380700/2021	2	AY.44
Pakistan/UHS2-Pak-140/2021	27	B.1.617.2
NZL/21MV0660/2021	27	B.1.617.2
THA/AFRIMS-COV7471/2021	5	AY.85
