strain	t-sne_label_for_Nextclade_pango_collapsed	Nextclade_pango_collapsed
USA/OH-CDC-QDX28508736/2021	18	AY.3
England/MILK-1C51EE9/2021	27	AY.6
England/PLYM-1A03D18/2021	27	AY.4
OY353171	27	AY.4
SYC/SS4681/2021	19	AY.122
England/MILK-2D8F200/2021	27	AY.4
OV665150	21	AY.43
NZL/21MV2282/2021	8	AY.39.1.1
USA/CA-CDPH-6000005879/2021	27	AY.119
England/BRBR-1D03814/2021	25	AY.120
Japan/SZ-NIG-3-C11829/2021	16	AY.29
USA/CO-CDPHE-2103125316/2022	24	AY.103
BRA/SP-NVBS8113GENOV828232321645/2021	1	AY.99.2
Japan/SZ-NIG-Y211119/2021	16	AY.29
OV657751	27	AY.122
NZL/21MV1938/2021	8	AY.39.1.1
NZL/21CV3349/2021	9	AY.39.1.1
NZL/21CV2240/2021	8	AY.39.1.1
LAO/LOMWRU-1656/2021	3	AY.1
BRA/PR-NVBS3811GENOV827827149497/2021	11	AY.101
USA/UT-CDC-LC0073752/2021	2	AY.44
IND/hospital_3_251/2021	27	B.1.617.2
SGP/SNDE2/2021	13	AY.23
UZB/UZB-370/2021	27	AY.122
OV111693	27	B.1.617.2
LAO/LOMWRU-1220/2021	3	AY.1
NZL/21MV0515/2021	27	B.1.617.2
KEN/C108336/2021	27	AY.116
USA/TN-CDC-ASC210328737/2021	18	AY.3
NZL/21CH0068/2021	13	AY.23
NZL/21MV1445/2021	9	AY.39.1.1
NZL/21CV0565/2021	9	AY.39.1.1
USA/GA-CDC-LC0241154/2021	23	AY.25.1
England/BRBR-1C17A09/2021	27	AY.4
NZL/21MV0581/2021	27	B.1.617.2
NZL/21CH0040/2021	13	AY.23
USA/NC-CDC-LC0278617/2021	27	B.1.617.2
USA/FL-CDC-STM-000726582/2021	27	AY.119
BHR/21921940348_S54_L001/2021	7	B.1.617.2
DJI/NAMRU3_E775/2021	-1	AY.127
BHR/342527227/2021	27	B.1.617.2
USA/UT-UPHL-210721516375/2021	2	AY.44
England/HSLL-191640F/2021	27	AY.4
OU398601	20	AY.91
SouthAfrica/NHLS-UCT-LA-Z551/2021	4	AY.32
Denmark/DCGC-124549/2021	-1	B.1.617.2
USA/FL-CDC-ASC210105985/2021	18	AY.3
England/ALDP-154FF6A/2021	27	AY.4
USA/CA-LACPHL-AF04681/2021	9	AY.39
Northern_Ireland/NIRE-00ce37/2021	27	AY.4
BRA/ILMD2200059/2021	27	B.1.617.2
USA/KY-LMDC-21072134/2021	2	AY.44
NZL/21MV1801/2021	8	AY.39.1.1
FRA/IHUCOVID-059959_Nova1/2020	21	AY.43
NZL/21CV0295/2021	9	AY.39.1.1
OU857887	21	AY.43
BRA/RJ-NVBS3512GENOV700922220486/2021	1	AY.99.2
BRA/DF-NVBS3949GENOV827795260514/2021	1	AY.99.2
SouthAfrica/NHLS-UCT-GS-E799/2021	26	AY.45
DJI/NAMRU3_H271_2021/2021	17	AY.126
USA/NMDOH-2021198917/2021	24	AY.103
USA/NV-CDC-QDX26215481/2021	2	AY.44
OV103956	27	AY.46.6
England/ALDP-1543E4B/2021	27	AY.4
England/RAND-14FD46D/2021	27	AY.122
USA/CO-CDC-MMB08780436/2021	2	AY.44
England/ALDP-152D885/2021	27	AY.4
USA/OKPHL0027294/2022	24	AY.103
FRA/IHUCOVID-047042-Nova1M/2020	27	B.1.617.2
BHR/21921841119_S36_L001/2021	7	AY.33
USA/TX-CDC-FG-020403/2021	27	B.1.617.2
KAZ/56_02/2021	27	AY.122
NZL/21MV2810/2021	8	AY.39.1.1
USA/CA-CDC-FG-050007/2021	18	AY.3
BHR/342391861/2021	27	B.1.617.2
USA/NY-CDC-LC0165209/2021	2	AY.44
England/CAMC-141DB08/2021	27	B.1.617.2
NZL/21CH0270/2021	8	AY.39.1.1
KAZ/60_02/2021	27	AY.122
USA/CA-CDC-FG-191203/2021	-1	AY.39
BGD/Laila_4/2021	14	AY.122
USA/OH-CDC-LC0427178/2021	23	AY.25
NZL/21MV0652/2021	-1	B.1.617.2
OU858016	21	AY.43
USA/MD-CDC-ASC210249084/2021	22	AY.103
BHR/921383172_S272_L001/2021	27	B.1.617.2
GMB/18367/2021	10	AY.34.1
SouthAfrica/NHLS-UCT-GS-D040/2021	26	AY.45
SouthAfrica/NHLS-UCT-AM-Z051/2021	26	AY.45
USA/IN-CDC-ASC210080742/2021	9	AY.39
NZL/21MV0743/2021	9	AY.39.1.1
NZL/21MV3377/2021	8	AY.39.1.1
England/PHEP-YYDFXQE/2022	27	AY.4
VNM/OUCRU-NHTD281/2021	13	AY.23
NZL/21CH0672/2021	8	AY.39.1.1
BRA/PE-NVBS11106GENOV828537018936/2021	1	AY.99.2
BRA/SP-NVBS11003GENOV828391823103/2021	1	AY.99.2
BRA/RJ-NVBS8798GENOV828209752618/2021	1	AY.99.2
BRA/PR-NVBS8517GENOV045385298482/2021	11	AY.101
BRA/PR-NVBS8501GENOV828212410864/2021	11	AY.101
BRA/RJ-NVBS5426GENOV827932075988/2021	1	AY.99.2
USA/CO-CDC-MMB08948682/2021	23	AY.25
IND/GBRC808a/2021	-1	AY.122
England/CAMC-142DAEA/2021	27	B.1.617.2
England/ALDP-1587670/2021	27	AY.4
USA/TX-CDC-ASC210119371/2021	27	B.1.617.2
USA/CO-CDC-MMB09720202/2021	24	AY.103
OW046753	21	AY.43
OY470884	27	AY.4
USA/CA-CDC-FG-056443/2021	24	AY.103
NZL/21MV0634/2021	14	AY.122
SYC/SS995/2021	19	AY.122
Switzerland/GE-HUG-35467598/2021	-1	B.1.617.2
SouthAfrica/NHLS-UCT-GS-C595/2021	4	AY.32
IND/INSACOG-GBRC1600/2021	27	B.1.617.2
NGA/CV2713/2021	0	AY.99
NGA/CV3792/2021	6	AY.36
NGA/CV3797/2021	6	AY.36
KAZ/86_02/2021	27	AY.122
NZL/21CV0260/2021	9	AY.39.1.1
SouthAfrica/NHLS-UCT-GS-C025/2021	26	AY.45
BRA/RJ-NVBS11968GENOV828485614921/2021	21	AY.43
BRA/PI-NVBS9840GENOV701341187596/2021	21	AY.43
BRA/PR-NVBS10011GENOV828384609295/2021	11	AY.101
BRA/DF-NVBS9940GENOV70987484766/2021	1	AY.99.2
IND/hospital_2_110/2021	27	B.1.617.2
England/PHEC-31B9E6/2021	27	AY.4
England/MILK-1B1D7FE/2021	27	AY.4
USA/CO-CDC-MMB10993310/2021	24	AY.103
USA/WA-CDC-LC0378381/2021	2	AY.44
USA/1865100/2021	18	AY.3
IND/GBRC672a/2021	27	B.1.617.2
NZL/21MV2499/2021	8	AY.39.1.1
USA/CA-CDC-QDX25164347/2021	18	AY.3
IND/GBRC672b/2021	27	B.1.617.2
England/MILK-1532735/2021	14	AY.122
USA/KY-CDC-ASC210480990/2021	23	AY.25
England/LOND-1358AC9/2021	27	AY.4
England/MILK-1B0299C/2021	27	AY.4
USA/CO-CDC-MMB08864860/2021	27	B.1.617.2
THA/CONI-1019/2021	5	AY.85
OY418363	27	AY.4
OY486041	27	AY.4
SouthAfrica/NHLS-UCT-GP-6559/2021	4	AY.32
SouthAfrica/NHLS-UCT-LA-Z733/2021	4	AY.32
SouthAfrica/NHLS-UCT-GS-AF17/2021	4	AY.32
COL/SEC-1541G/2021	23	AY.25.1
Switzerland/AG-UHB-43144757/2021	27	AY.4
NGA/CV4799/2021	27	B.1.617.2
USA/IL-CDC-ASC210035037/2021	27	B.1.617.2
England/PLYM-18E10BF/2021	27	AY.4
KEN/SS4263/2021	6	AY.36
England/MILK-30D934A/2022	27	AY.4.2
BRA/PI-NVBS9105GENOV701335693775/2021	11	AY.101
BRA/BA-NVBS5795GENOV828119057056/2021	1	AY.99.2
USA/RI-CDCBI-RIDOH_JL76NTVMZTJNMCVQ/2021	24	AY.103
NZL/21MV1543/2021	21	AY.43
SouthAfrica/NHLS-UCT-GS-H381/2021	4	AY.32
USA/TX-CDC-STM-000707005/2021	23	AY.25
BHR/21921669029_S51_L001/2021	7	AY.33
USA/FL-CDC-LC0152532/2021	2	AY.44
BRA/21899979EMB/2021	1	AY.99.2
JAM/202112020/2021	-1	AY.107
THA/CONI-1245/2021	27	B.1.617.2
NZL/21MV3219/2021	8	AY.39.1.1
NZL/21MV3114/2021	9	AY.39.1.1
NZL/21CV0700/2021	9	AY.39.1.1
NZL/21MV1138/2021	9	AY.39.1.1
NZL/21MV1058/2021	9	AY.39.1.1
SouthAfrica/NHLS-UCT-GS-C931/2021	20	AY.91
OY380493	27	AY.4
NZL/21CH0492/2021	8	AY.39.1.1
KEN/C107816/2021	27	AY.116
DEU/C3170/2021	27	AY.4
LAO/LOMWRU-1064/2021	3	AY.1
USA/NC-CDC-QDX26400284/2021	27	B.1.617.2
OY307566	27	B.1.617.2
BGD/IEDCR-OIS-211/2021	14	AY.122
KEN/SS8584/2022	21	AY.43
NZL/21CV2645/2021	8	AY.39.1.1
BRA/ILMD2200449/2021	1	AY.99.2
South_Africa/UW21070391275/2021	0	AY.99
BRA/RJ-NVBS9454GENOV700959068020/2021	1	AY.99.2
NZL/21MV0615/2021	-1	B.1.617.2
USA/CA-CDC-FG-146492/2021	27	AY.46
OU857696	-1	AY.4
NZL/21CV2378/2021	8	AY.39.1.1
USA/1857106/2021	-1	AY.103
NZL/21MV0638/2021	14	AY.122
NZL/21MV0782/2021	9	AY.39.1.1
USA/MI-CDC-ATM-ZS8ZZX3JU/2021	23	AY.25.1
DJI/NAMRU3_E272/2021	25	AY.120
Denmark/DCGC-124059/2021	21	AY.43
KEN/SS7349/2021	27	AY.116
BRA/RJ-NVBS3479GENOV700922152084/2021	1	AY.99.2
Denmark/DCGC-252785/2021	21	AY.43
USA/TN-CDC-LC0194823/2021	2	AY.44
Pakistan/UHS2-Pak-361/2021	27	B.1.617.2
England/MILK-1806852/2021	27	AY.4
SouthAfrica/NHLS-UCT-GS-C176/2021	4	AY.32
SouthAfrica/NHLS-UCT-GS-C920/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-GS-AF04/2021	-1	AY.91
NZL/21MV0613/2021	-1	B.1.617.2
NZL/21MV2565/2021	8	AY.39.1.1
KEN/C106189/2021	27	AY.116
KEN/SS10913/2021	-1	B.1.617.2
England/PHEC-Y308Y050/2021	27	AY.4
BRA/EPI_ISL_8890265/2021	10	AY.34.1
USA/MI-CDC-STM-89D6X8HH6/2021	24	AY.103
EGY/CCHE57357_W4_A001/2021	17	AY.126
Japan/SZ-NIG-Y211225/2021	16	AY.29
USA/CO-CDC-LC0472092/2022	18	AY.3
Switzerland/VS-ICH-2211264520/2021	-1	AY.98
URY/p2271/2021	21	AY.43
OY586390	27	AY.6
NZL/21CV0346/2021	9	AY.39.1.1
OU154749	27	B.1.617.2
KEN/SS4182/2021	27	AY.46
OV103967	12	AY.100
NZL/21MV3015/2021	8	AY.39.1.1
USA/OKPHL0024712/2022	18	AY.3
SouthAfrica/NHLS-UCT-GP-M981/2021	27	AY.6
England/MILK-153D318/2021	27	AY.6
SYC/SS4653/2021	19	AY.122
IND/GBRC812a/2021	27	AY.122
USA/SD-CDC-ASC210518027/2021	23	AY.25
OV109415	17	AY.126
England/NORW-30E1D75/2021	27	AY.4
FRA/IHUCOVID-034454_Nova1/2021	27	B.1.617.2
SYC/SS3654/2021	19	AY.122
IND/hospital_2_132/2021	27	B.1.617.2
OY462753	25	AY.120
IND/hospital_2_326/2021	14	AY.122
BHR/342409857/2021	-1	B.1.617.2
OY521534	27	AY.4.2
NZL/21MV0851/2021	9	AY.39.1.1
NZL/21MV0476/2021	27	AY.122
USA/VT-CDCBI-CRSP_WHQ6IZSXYCAV542D/2021	23	AY.25.1
LAO/LOMWRU-1750/2022	3	AY.1
England/ALDP-154A318/2021	27	AY.4
USA/2078211_BB1L12/2021	-1	AY.25
BRA/EPI_ISL_8890282/2021	1	AY.99.2
IND/hospital_2_144/2021	11	B.1.617.2
SouthAfrica/NHLS-UCT-GP-M988/2021	4	AY.32
LAO/LOMWRU-1578/2021	5	AY.85
DJI/NAMRU3_E190/2021	-1	AY.127
USA/UT-CDC-LC0067238/2021	2	AY.44
USA/WA-CDC-UW21051458938/2021	-1	B.1.617.2
Switzerland/VD-CHUV-GEN9194/2021	-1	AY.98
Switzerland/SG-CLM-01019003/2022	27	AY.46.6
England/NEWC-2E161C4/2021	-1	AY.4
USA/FL-CDC-STM-000062223/2021	-1	B.1.617.2
OV241508	27	AY.4
USA/KY-DC-DW084_F10/2020	27	B.1.617.2
OV115766	21	AY.43
USA/AR-UNM-ACHV00403/2021	2	AY.44
England/ALDP-167DC2F/2021	27	AY.4
England/ALDP-166E6BA/2021	27	AY.4
USA/AR-UNM-M00427736/2021	2	AY.44
USA/TX-EPICC_Sieve_267/2021	12	AY.100
NZL/21MV0653/2021	27	AY.4
NZL/21MV0630/2021	27	B.1.617.2
NZL/21MV0491/2021	27	B.1.617.2
England/BRBR-1F1D842/2021	27	AY.4
BGD/Laila_159/2021	27	B.1.617.2
Scotland/CVR12448/2021	27	AY.4
LBY/86574a-37/2021	-1	AY.127
BGD/icddrb-CMOSH-CU-0024/2021	-1	B.1.617.2
IND/CWS_0080_54315840/2021	27	B.1.617.2
England/MILK-17E2152/2021	27	AY.6
BRA/GO-NVBS9153GENOV700800151826/2021	11	AY.101
BRA/PR-NVBS932GENOV827684001556/2021	11	AY.101
BRA/RJ-NVBS3379GENOV821440219995/2021	1	AY.99.2
BRA/RJ-NVBS3475GENOV827820642971/2021	1	AY.99.2
LAO/LOMWRU-1741/2021	5	AY.85
OY692407	-1	AY.4.2
OU924059	21	AY.43
BHR/21342768692/2021	-1	AY.4
OV103843	21	AY.43
OV104283	27	B.1.617.2
NZL/21MV0612/2021	13	AY.23
KEN/C100802/2021	27	AY.116
OV649594	-1	B.1.617.2
NGA/CV2627/2021	6	AY.36
BRA/SP-NVBS10217GENOV828343635761/2021	21	AY.43
BRA/RJ-NVBS3705GENOV700922769794/2021	1	AY.99.2
OW677287	-1	AY.127
OX115909	-1	AY.122
Scotland/QEUH-15BEFFD/2021	27	AY.4
IND/CWS_0064_55744582/2021	27	B.1.617.2
England/ALDP-17A7274/2021	27	AY.4
USA/MN-CDC-LC0417578/2021	23	AY.25.1
OV104183	21	AY.43
IND/GBRC1231/2021	27	B.1.617.2
England/ALDP-1A3D0FE/2021	27	AY.4
KEN/C102060/2021	27	AY.116
USA/WA-UW-21042320745/2021	27	AY.122
SouthAfrica/NHLS-UCT-GP-N007/2021	27	AY.127
FRA/IHUCOVID-056680_Nova2/2021	-1	AY.122
BHR/21921829475_S80_L001/2021	27	AY.5
OX115240	21	AY.43
OX112263	21	AY.43
BRA/SP-NVBS7199GENOV828088949949/2021	-1	AY.46
BRA/RJ-NVBS3374GENOV827808626665/2021	1	AY.99.2
NZL/21MV3327/2021	8	AY.39.1.1
NZL/21CV0619/2021	9	AY.39.1.1
England/ALDP-1597F18/2021	27	AY.4
LAO/LOMWRU-1006/2021	5	AY.85
England/NORT-1BF72BD/2021	27	AY.4
England/PLYM-1C697E3/2021	27	AY.4
England/MILK-1CA156D/2021	27	AY.4
England/ALDP-1DD9CFD/2021	27	AY.4
USA/1994155/2022	-1	AY.103
SouthAfrica/NHLS-UCT-GP-6997/2021	26	AY.45
IND/GBRC629b/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-LA-Z737/2021	-1	AY.4.2
USA/MD-CDC-LC0438834/2021	-1	AY.103
Japan/SZ-NIG-3-C11512/2021	16	AY.29
England/MILK-15B99F4/2021	27	AY.6
NZL/21MV2460/2021	8	AY.39.1.1
NZL/21CH0766/2021	8	AY.39.1.1
England/ALDP-160AC90/2021	27	AY.4
OV114072	-1	AY.43
OV104065	27	AY.46.6
OX115023	21	AY.43
GMB/16359/2021	10	AY.34.1
BRA/SP-NVBS6251GENOV828120013997/2021	1	AY.99.2
BRA/PR-NVBS951GENOV827691903300/2021	11	AY.101
USA/MA-CDCBI-CRSP_XTNI25OJ62J6REFL/2022	14	AY.122
NZL/21CV1433/2021	8	AY.39.1.1
BRA/EPI_ISL_4273530/2021	1	AY.99.2
USA/MT-UMGC-04179/2020	12	AY.100
IND/IITRnCoV72/2021	27	B.1.617.2
KEN/SS4387/2021	27	AY.4.2
England/PHWC-PYIHRZ/2021	27	AY.4
KEN/SS319/2021	27	B.1.617.2
BRA/SP-NVBS11276GENOV045617201167/2021	21	AY.43
USA/FL-CDC-STM-000733304/2021	27	AY.122
England/NEWC-272733A/2021	27	AY.4
LC654314	16	AY.29
England/NORW-30146BA/2020	27	AY.5
BGD/icddrb-CMOSH-CU-2552610/2021	-1	B.1.617.2
HongKong/HKU-220213-219/2021	27	AY.4
BRA/MS-NVBS12002GENOV700966652335/2021	1	AY.99.2
BRA/SC-NVBS11443GENOV045617340798/2021	1	AY.99.2
Denmark/DCGC-276444/2021	21	AY.43
KEN/SS4140/2021	27	AY.46
USA/VT-CDC-LC0421640/2021	12	AY.100
England/PHEC-33B34C/2021	27	AY.4
England/NORT-1BF71A1/2021	27	AY.4
SYC/SS3477/2021	19	AY.122
USA/PA-CDC-ASC210357542/2021	27	AY.119
USA/NV-CDC-ASC210360432/2021	23	AY.25.1
BHR/800111222/2021	27	B.1.617.2
SYC/SS982/2021	19	AY.122
IND/518MN908947.3/2021	27	AY.127
USA/WI-CDC-LC0313260/2021	24	AY.103
KEN/C100662/2021	27	AY.122
USA/FL-BPHL-8934/2021	27	B.1.617.2
USA/CA-CDC-FG-146840/2021	24	AY.103
OU857848	-1	AY.4
USA/CO-CDC-MMB11437449/2021	2	AY.44
USA/WV127906/2021	-1	AY.39
USA/LA-BIE-LSUH001239/2021	23	AY.25
USA/NV-CDC-QDX26400824/2021	2	AY.44
USA/NV-CDC-LC0092345/2021	2	AY.44
USA/NV-CDC-QDX26075778/2021	2	AY.44
NZL/21CH0619/2021	-1	AY.39.1.1
USA/CA-CDC-FG-044891/2021	27	B.1.617.2
Scotland/QEUH-15D96D9/2021	27	AY.4
BRA/2068554/2021	1	AY.99.2
USA/WA-CDC-UW21081538446/2021	2	AY.44
HongKong/HKPU-00191/2021	27	AY.5
NZL/21MV2755/2021	9	AY.39.1.1
CHL/AR-UFRO-0200/2021	21	AY.43
USA/NE-TESTNE_ABHCHDH/2021	2	AY.44
IND/GBRC806b/2021	-1	B.1.617.2
NGA/CV3667/2021	6	AY.36
NGA/CV3854/2021	6	AY.36
LAO/LOMWRU-0833/2021	3	AY.1
England/ALDP-15C8A68/2021	27	AY.4
BRA/RJ-NVBS3505GENOV827813245639/2021	1	AY.99.2
NGA/CV2918/2021	6	AY.36
NGA/CV2821/2021	0	AY.99
USA/MI-CDC-ASC210482469/2021	23	AY.25
BTN/RCDC0014-SV210152/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-LA-Z734/2021	4	AY.32
BRA/SP-NVBS7108GENOV828104046096/2021	-1	AY.46
NGA/CV3374/2021	6	AY.36
BRA/RJ-NVBS2716GENOV701231397876/2021	1	AY.99.2
England/ALDP-15AC3F6/2021	27	AY.4
MYS/M_C15438/2021	13	AY.23
USA/PA-BOL-M22000026/2022	-1	AY.39
OV104379	-1	AY.5
England/MILK-2BF46A2/2021	27	AY.4
USA/IN-GD-110321-61/2021	23	AY.25.1
BRA/ILMD2101357/2021	1	AY.99.2
England/MILK-19CC198/2021	27	AY.4
BRA/ILMD2200212/2021	21	AY.43
NZL/21CV2126/2021	8	AY.39.1.1
England/MILK-15C996A/2021	27	AY.5
USA/FL-BPHL-4446/2021	23	AY.25
NZL/21MV2112/2021	8	AY.39.1.1
BTN/RCDC0025-SV210163/2021	27	B.1.617.2
ZAF/NHLS-UCT-GS-E353/2021	26	AY.45
BRA/SP-NVBS7890GENOV828265263431/2021	1	AY.99.2
SouthAfrica/NHLS-UCT-GS-C005/2021	4	AY.32
SouthAfrica/NHLS-UCT-GS-C102/2021	25	AY.120
BHR/21280338923_S75_L001/2021	17	AY.126
OV103961	-1	AY.5
JPN/HiroC77v1/2021	16	AY.29
NZL/21CV0478/2021	9	AY.39.1.1
USA/CA-CDC-FG-139693/2021	12	AY.100
IND/RGCB-LMMD-26/2021	27	B.1.617.2
KEN/C102874/2021	27	AY.116
NZL/21MV1252/2021	9	AY.39.1.1
England/MILK-20BD45B/2021	27	AY.4.2
BHR/21922000489/2021	15	AY.3
OV103636	-1	AY.4
BHR/21342839417_S80_L001/2021	15	AY.3
OV377291	27	AY.6
IND/INSACOG-GBRC1607/2021	27	AY.127
England/MILK-153D327/2021	27	AY.6
USA/UT-CDC-QDX27028074/2021	18	AY.3
IND/GBRC1243/2021	27	B.1.617.2
OY595556	27	AY.4
BHR/21922024248_S47_L001/2021	15	AY.3
OV104511	21	AY.43
OV103964	21	AY.43
OV103911	21	AY.43
Japan/SZ-NIG-Y211981/2021	16	AY.29
USA/CO-CDPHE-2102508951/2021	27	AY.119
England/QEUH-2DCB815/2021	27	AY.4.2
England/PLYM-309FF3D/2022	27	AY.4.2
England/HSLL-1532C90/2021	-1	AY.122
USA/NE-TESTNE_A1TKXSL/2021	9	AY.39
DJI/NAMRU3_E301/2021	-1	AY.127
DJI/NAMRU3_E271/2021	-1	AY.127
NGA/BCVL-26692/2021	27	B.1.617.2
Switzerland/TG-ETHZ-671235/2021	21	AY.43
NGA/CV2841/2021	6	AY.36
NGA/CV2743/2021	0	AY.99
HongKong/HKU-220213-218/2021	27	B.1.617.2
BRA/PR-NVBS3795GENOV827806596045/2021	11	AY.101
England/ALDP-15A2536/2021	27	AY.4
England/ALDP-17AA0A4/2021	27	AY.4
NZL/21MV0522/2021	27	B.1.617.2
NZL/21MV0833/2021	9	AY.39.1.1
NZL/21MV1148/2021	9	AY.39.1.1
IND/547MN908947.3/2021	-1	B.1.617.2
BRA/RJ-NVBS5320GENOV827956611926/2021	1	AY.99.2
BRA/RJ-NVBS3729GENOV827824884537/2021	1	AY.99.2
OV103689	-1	AY.98
England/MILK-2943855/2021	27	AY.4
UGA/MUWRP-KIR210110S/2021	27	AY.46
UGA/MUWRP-KIR210136S/2021	27	AY.46
NZL/21MV3034/2021	8	AY.39.1.1
NZL/21CH0836/2021	8	AY.39.1.1
USA/CO-CDPHE-22317371/2021	2	AY.44
USA/CA-CDC-FG-070357/2021	2	AY.44
USA/OKPHL0025524/2021	24	AY.103
KEN/SS3733/2021	6	AY.36
NGA/CV2493/2021	27	B.1.617.2
BRA/SP-NVBS11298GENOV130640983453/2021	1	AY.99.2
BRA/SP-NVBS8021GENOV821445597647/2021	21	AY.43
NZL/21MV2088/2021	9	AY.39.1.1
NZL/21CH0719/2021	8	AY.39.1.1
KEN/SS9152/2021	27	AY.127
KEN/SS4410/2021	-1	AY.46
USA/CO-CDPHE-2101947252/2021	2	AY.44
USA/WA-CDC-UW21050631997/2021	27	B.1.617.2
NZL/21MV0574/2021	27	AY.122
NZL/21MV0806/2021	9	AY.39.1.1
OU858073	27	AY.46.6
BRA/SP-NVBS11901GENOV828506856026/2021	21	AY.43
BRA/RJ-NVBS6473GENOV828072025826/2021	1	AY.99.2
BRA/RJ-NVBS3706GENOV827829238311/2021	1	AY.99.2
USA/UT-UPHL-210612260296/2021	2	AY.44
OU515408	-1	B.1.617.2
BHR/21342661387_S85_L001/2021	7	AY.33
KEN/C98737/2021	27	AY.116
KEN/SS4910/2021	27	AY.46
Japan/SZ-NIG-4-C3/2022	16	AY.29
NZL/21CV0444/2021	27	AY.4
USA/WV123341/2021	18	AY.3
USA/MO-CDC-LC0441741/2021	27	AY.103
IMS-10215-CVDP-D23B5CBB-4E64-4768-8687-C9D0EBD4638C	27	AY.4
IMS-10004-CVDP-86117353-C8E6-42F5-88B8-D9ADF9B4EDCD	21	AY.43
IMS-10587-CVDP-578FBD6F-BBF2-414F-99A3-B56074DC13F4	27	AY.122
IMS-10150-CVDP-AA19F40F-B602-475F-8808-A6DE6D531B61	-1	AY.98
IMS-10146-CVDP-1782F70F-36EB-4A3E-B273-7A0ADFC03D00	27	AY.46.6
IMS-10087-CVDP-92581D79-C43E-436F-B628-06176EBB2BEF	-1	B.1.617.2
IMS-10116-CVDP-DCAFFE99-D611-4D6E-AEBB-95169F29D51E	27	AY.6
IMS-10302-CVDP-5FAF0324-E761-4C7E-8ECB-201A5B63DCCE	21	AY.43
IMS-10302-CVDP-99E53E9E-44A4-4D5E-A567-48962AE31748	-1	AY.98
IMS-10302-CVDP-54C3463B-AB2F-433F-89C7-7C425B32F608	-1	B.1.617.2
IMS-10036-CVDP-F41D69F6-DC0D-4D14-B730-D9C3C4C3D4B0	17	AY.126
